"","Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
"482",280,"20200122 P1",-0.5322,-0.4706,"PTx",0
"483",280,"20200122 P1",-0.5322,-0.4706,"YM",0
"484",280,"20200122 P1",-0.5322,-0.4706,"ymptx",0
"486",286,"20200122 P1",0.2441,0.3226,"DMSO",0
"487",286,"20200122 P1",0.2441,0.3226,"PTx",0
"488",286,"20200122 P1",0.2441,0.3226,"YM",0
"489",286,"20200122 P1",0.2441,0.3226,"ymptx",0
"491",287,"20200122 P1",0.0413000000000003,0.1709,"DMSO",0
"492",287,"20200122 P1",0.0413000000000003,0.1709,"PTx",0
"493",287,"20200122 P1",0.0413000000000003,0.1709,"YM",0
"494",287,"20200122 P1",0.0413000000000003,0.1709,"ymptx",0
"495",288,"20200122 P1",-0.0868999999999999,0.17,"DMSO",0
"496",288,"20200122 P1",-0.0868999999999999,0.17,"PTx",0
"497",288,"20200122 P1",-0.0868999999999999,0.17,"YM",0
"498",288,"20200122 P1",-0.0868999999999999,0.17,"ymptx",0
"503",295,"20200122 P1",0.3687,0.2614,"DMSO",0
"504",295,"20200122 P1",0.3687,0.2614,"PTx",0
