"id","Time","Cell.1","Cell.2","Cell.3","Cell.4","Cell.5","Cell.6","Cell.7","Cell.8","Cell.9","Cell.10","Cell.11","Cell.12","Cell.13","Cell.14","Cell.15","Cell.16","Cell.17","Cell.18","Cell.19","Cell.20","Cell.21","Cell.22","Cell.23","Cell.24","Cell.25","Cell.26","Cell.27","Cell.28","Cell.29","Cell.30","Cell.31","Cell.32"
"Cdc42_S1P",10.33333,1.079026,1.06232,0.9688999,1.015188,1.023789,0.9696675,0.9425919,1.031152,0.9985556,1.037012,1.01227,0.9685036,0.9919242,1.048988,1.103493,1.030942,1.0291,1.010621,1.033426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",10.5,1.070015,1.054723,0.9675301,1.008038,1.02219,0.9951237,0.9655151,1.02714,0.9933702,1.035163,1.00916,0.9645867,0.9878927,1.038904,1.0943,1.02604,1.027278,1.009222,1.032755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",10.66667,1.078096,1.063018,0.9797635,1.028467,1.018639,0.9787844,0.9501899,1.034065,1.000379,1.03654,1.015003,0.969169,0.9943055,1.04731,1.098309,1.015884,1.028486,1.010217,1.028113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",10.83333,1.089696,1.072283,0.9861507,1.02731,1.014026,0.9871237,0.9647565,1.030461,0.9994032,1.038675,1.015245,0.9667646,0.9937878,1.040495,1.085207,1.016554,1.027987,1.005082,1.024996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",11,1.077557,1.064274,0.9729722,1.017253,1.014982,0.9928935,0.9696906,1.026511,0.9930403,1.037304,1.014017,0.9672805,0.9915837,1.040032,1.079684,1.028582,1.030881,1.008937,1.032368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",11.16667,1.084299,1.069221,0.9773104,1.016368,1.014136,0.9870799,0.9638227,1.022887,0.9908282,1.033932,1.011636,0.9716842,1.007438,1.030545,1.070402,1.026976,1.033427,1.006896,1.032026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",11.33333,1.084363,1.063064,0.9724854,1.024085,1.022422,0.9760734,0.9549806,1.030837,1.000243,1.041208,1.014898,0.9640798,0.9843714,1.035884,1.072008,1.033942,1.034593,1.005579,1.028847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",11.5,1.092469,1.069405,0.9661639,1.01402,1.019214,0.9808369,0.9582649,1.032972,1.00234,1.040352,1.014997,0.9694122,1.000251,1.026614,1.063808,1.03021,1.026682,0.998909,1.018002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",11.66667,1.086172,1.058107,0.9778785,1.021041,1.01501,0.9856257,0.9595674,1.031405,1.003483,1.041113,1.014887,0.9707542,1.007187,1.023355,1.063353,1.026754,1.017339,1.017991,1.044023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",11.83333,1.072208,1.046783,0.9563422,1.000416,1.020907,0.968991,0.9423549,1.020744,0.9975616,1.034883,1.009456,0.9691548,0.9979312,1.018651,1.059009,1.026662,1.021071,1.008031,1.032496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
