"X","Sample","Slice","CFP","YFP","Ratio","Time"
302,"Cell-02",76,0.511903023221849,1.37621032300694,2.68841999475849,152
303,"Cell-03",76,0.650127226463104,1.27252799403397,1.9573522569681,152
304,"Cell-04",76,0.623745819397993,1.30603373158027,2.09385568762735,152
305,"Cell-01",77,0.604635539133356,1.36811500565337,2.26271020657226,154
306,"Cell-02",77,0.578355484153644,1.29113827543267,2.23243024542613,154
307,"Cell-03",77,0.61323155216285,1.311736590547,2.13905593396253,154
308,"Cell-04",77,0.613154960981048,1.31484421896482,2.14439138983898,154
309,"Cell-01",78,0.54585152838428,1.38470800722456,2.5367850692354,156
310,"Cell-02",78,0.671827077552213,1.22315687819258,1.82064242282274,156
311,"Cell-03",78,0.568066157760814,1.33501316369307,2.35010156027491,156
312,"Cell-04",78,0.610367892976589,1.31595763220572,2.15600729879184,156
313,"Cell-01",79,0.555089015787706,1.34175709607788,2.41719266264682,158
314,"Cell-02",79,0.701036950489265,1.26216676408549,1.80042829868612,158
315,"Cell-03",79,0.562977099236641,1.31625631348798,2.33802816361933,158
316,"Cell-04",79,0.597547380156076,1.31973355537052,2.20858395367045,158
317,"Cell-01",80,0.610513940208263,1.27773454134301,2.09288348257394,160
318,"Cell-02",80,0.601723382503286,1.35924674070497,2.25892292077839,160
319,"Cell-03",80,0.584605597964377,1.27388391091626,2.17904843086002,160
320,"Cell-04",80,0.602006688963211,1.29736847200976,2.15507318406066,160
321,"Cell-01",81,0.686933154182062,1.21319804408158,1.76610786172659,162
322,"Cell-02",81,0.522856725573244,1.39787542250121,2.67353436253234,162
323,"Cell-03",81,0.636132315521629,1.24303680184405,1.95405385249884,162
324,"Cell-04",81,0.617056856187291,1.29465755281452,2.09811711811133,162
325,"Cell-01",82,0.725562646960027,1.21297778299878,1.6717753981423,164
326,"Cell-02",82,0.497298086753323,1.38218252052149,2.77938435183866,164
327,"Cell-03",82,0.657124681933842,1.22117264211704,1.85835759284413,164
328,"Cell-04",82,0.629319955406912,1.27592316480452,2.02746338145201,164
329,"Cell-01",83,0.708767215317434,1.27097986813703,1.79322609831467,166
330,"Cell-02",83,0.543303636629181,1.3271620625683,2.44276307591536,166
331,"Cell-03",83,0.66030534351145,1.24795200054237,1.88996198926069,166
332,"Cell-04",83,0.642697881828317,1.2902038998509,2.00748117635084,166
333,"Cell-01",84,0.600436681222707,1.35651458862572,2.2592133876021,168
334,"Cell-02",84,0.631663502263765,1.24240768507459,1.96688217796664,168
335,"Cell-03",84,0.631043256997456,1.26631337499011,2.00669821117385,168
336,"Cell-04",84,0.617614269788183,1.29093003892105,2.09018816771153,168
337,"Cell-01",85,0.54417198522002,1.36077296955992,2.50063032739499,170
338,"Cell-02",85,0.695194975901855,1.21006887087347,1.74061797455265,170
339,"Cell-03",85,0.625954198473282,1.25196325465249,2.0000876385302,170
340,"Cell-04",85,0.627090301003344,1.26120674631605,2.01120435812533,170
341,"Cell-01",86,0.554249244205576,1.32545777595043,2.39144715091177,172
342,"Cell-02",86,0.646998685555718,1.310007878218,2.02474581087102,172
343,"Cell-03",86,0.615776081424936,1.27744319273229,2.0745255154702,172
344,"Cell-04",86,0.627647714604236,1.28594388397266,2.04883066416248,172
345,"Cell-01",87,0.645784346657709,1.25989339363592,1.95095065428044,174
346,"Cell-02",87,0.549145611216591,1.40937507941752,2.56648701297121,174
347,"Cell-03",87,0.601145038167939,1.32139749833335,2.1981342511958,174
348,"Cell-04",87,0.618729096989966,1.29514164552795,2.09322892979923,174
349,"Cell-01",88,0.789385287201881,1.0414678198558,1.31934029774924,176
350,"Cell-02",88,0.547685117569739,1.22214033393479,2.2314652977204,176
351,"Cell-03",88,0.652671755725191,1.12846182529011,1.72898829371935,176
352,"Cell-04",88,0.666109253065775,1.13190558255717,1.69927917582223,176
353,"Cell-01",89,0.927107826671145,0.949692368687684,1.02436021071856,178
354,"Cell-02",89,0.80911348035636,0.971117436275382,1.20022402277573,178
355,"Cell-03",89,0.860050890585242,0.958633235782646,1.11462385107272,178
356,"Cell-04",89,0.875696767001115,0.953033324942393,1.08831431250583,178
357,"Cell-01",90,1.00184749748069,0.92935492870883,0.927641114087573,180
358,"Cell-02",90,0.972688768803856,0.924864672545681,0.950833095033075,180
359,"Cell-03",90,0.968193384223919,0.923944362210596,0.954297330745767,180
360,"Cell-04",90,0.98494983277592,0.917016827062719,0.931028968732608,180
361,"Cell-01",91,1.00184749748069,0.931851220980602,0.930132802970412,182
