ID,Material,Requesting Country,Date Ordered
36202,pmTurquoise2-Tubulin,UNITED STATES,04/21/2014
36205,pmTurquoise2-Golgi,UNITED STATES,04/21/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,04/21/2014
36205,pmTurquoise2-Golgi,UNITED STATES,04/21/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,04/16/2014
36205,pmTurquoise2-Golgi,FRANCE,04/16/2014
36209,pPalmitoyl-mTurquoise2,FRANCE,04/16/2014
36203,pmTurquoise2-Peroxi,CHINA,04/15/2014
36205,pmTurquoise2-Golgi,CHINA,04/15/2014
36206,pmTurquoise2-NES,UNITED KINGDOM,04/15/2014
36208,pmTurquoise2-Mito,UNITED STATES,04/11/2014
36201,pLifeAct-mTurquoise2,FRANCE,04/11/2014
36208,pmTurquoise2-Mito,ISRAEL,04/10/2014
36201,pLifeAct-mTurquoise2,NEW ZEALAND,04/09/2014
22878,pSYFP2-C1,UNITED STATES,04/09/2014
22879,pSCFP3A-C1,UNITED STATES,04/09/2014
36202,pmTurquoise2-Tubulin,CANADA,04/07/2014
36209,pPalmitoyl-mTurquoise2,JAPAN,04/07/2014
36201,pLifeAct-mTurquoise2,CHINA,04/04/2014
36202,pmTurquoise2-Tubulin,CHINA,04/04/2014
36204,pmTurquoise2-ER,CHINA,04/04/2014
36205,pmTurquoise2-Golgi,CHINA,04/04/2014
36208,pmTurquoise2-Mito,CHINA,04/04/2014
36209,pPalmitoyl-mTurquoise2,CHINA,04/04/2014
36204,pmTurquoise2-ER,PORTUGAL,04/02/2014
36208,pmTurquoise2-Mito,UNITED STATES,04/02/2014
36201,pLifeAct-mTurquoise2,JAPAN,04/02/2014
36206,pmTurquoise2-NES,UNITED STATES,04/01/2014
36202,pmTurquoise2-Tubulin,SWEDEN,04/01/2014
36201,pLifeAct-mTurquoise2,GERMANY,03/31/2014
36202,pmTurquoise2-Tubulin,GERMANY,03/31/2014
36203,pmTurquoise2-Peroxi,GERMANY,03/31/2014
36204,pmTurquoise2-ER,GERMANY,03/31/2014
36205,pmTurquoise2-Golgi,GERMANY,03/31/2014
36208,pmTurquoise2-Mito,GERMANY,03/31/2014
36209,pPalmitoyl-mTurquoise2,GERMANY,03/31/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,03/30/2014
36204,pmTurquoise2-ER,UNITED STATES,03/30/2014
36205,pmTurquoise2-Golgi,UNITED STATES,03/30/2014
36208,pmTurquoise2-Mito,UNITED STATES,03/30/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,03/30/2014
36205,pmTurquoise2-Golgi,UNITED KINGDOM,03/28/2014
36203,pmTurquoise2-Peroxi,"KOREA, REPUBLIC OF",03/28/2014
36204,pmTurquoise2-ER,"KOREA, REPUBLIC OF",03/28/2014
